epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1105.68,1.06107,1.05851,1.42505,0.82443,0.78512,0.85923,0.55693,1.18199,0.92324,1.52512,0.000990365,0.000990365,0.000990365
43,1131.02,1.05732,1.0589,1.42875,0.83489,0.77535,0.85915,0.5502,1.17614,0.92774,1.5163,0.000973861,0.000973861,0.000973861
44,1156.35,1.06807,1.0464,1.4185,0.8239,0.76604,0.84208,0.54519,1.18288,0.9155,1.53074,0.000957358,0.000957358,0.000957358
45,1182.28,1.05052,1.03863,1.41982,0.813,0.80083,0.86697,0.55142,1.17975,0.9212,1.53388,0.000940855,0.000940855,0.000940855
46,1207.93,1.06097,1.03963,1.41318,0.83225,0.79229,0.86225,0.56621,1.15632,0.9084,1.50356,0.000924352,0.000924352,0.000924352
47,1233.43,1.04301,1.02831,1.40921,0.82277,0.79421,0.86932,0.56919,1.14604,0.87467,1.49086,0.000907848,0.000907848,0.000907848
48,1258.77,1.04485,1.02554,1.41355,0.80417,0.78184,0.84276,0.54056,1.19863,0.90465,1.54491,0.000891345,0.000891345,0.000891345
49,1284.53,1.03675,0.99477,1.40616,0.83921,0.80605,0.86749,0.56671,1.14432,0.86362,1.51326,0.000874842,0.000874842,0.000874842
50,1309.83,1.03041,0.98781,1.39752,0.83993,0.80913,0.87145,0.58899,1.11832,0.83214,1.46661,0.000858338,0.000858338,0.000858338
51,1335.38,1.03284,0.99713,1.40033,0.84187,0.77913,0.86405,0.579,1.11894,0.84268,1.4802,0.000841835,0.000841835,0.000841835
52,1360.84,1.00067,0.97066,1.38723,0.86082,0.81891,0.88954,0.59218,1.11434,0.78704,1.47485,0.000825332,0.000825332,0.000825332
53,1386.41,1.00657,0.96013,1.37616,0.8597,0.80038,0.88703,0.5986,1.08987,0.83468,1.44306,0.000808828,0.000808828,0.000808828
54,1412.33,1.00988,0.95103,1.38337,0.85135,0.83146,0.89415,0.60994,1.08017,0.80199,1.43749,0.000792325,0.000792325,0.000792325
55,1437.83,1.01145,0.947,1.37736,0.85614,0.82071,0.88242,0.59387,1.08201,0.79774,1.44321,0.000775822,0.000775822,0.000775822
56,1463.68,0.9943,0.93369,1.36798,0.86402,0.83078,0.90511,0.60844,1.09169,0.77029,1.44998,0.000759318,0.000759318,0.000759318
57,1488.93,0.98972,0.94579,1.37174,0.85459,0.82308,0.89068,0.60307,1.08007,0.77925,1.44726,0.000742815,0.000742815,0.000742815
58,1514.54,0.99474,0.94082,1.36995,0.87306,0.81635,0.9028,0.6078,1.08871,0.77727,1.45749,0.000726312,0.000726312,0.000726312
59,1539.74,0.99049,0.93038,1.36438,0.88271,0.79699,0.89606,0.61179,1.07759,0.76948,1.43714,0.000709809,0.000709809,0.000709809
60,1565.15,0.98917,0.93314,1.36092,0.85333,0.80778,0.88886,0.60711,1.06249,0.80205,1.43114,0.000693305,0.000693305,0.000693305
61,1590.84,0.97021,0.92491,1.3613,0.88313,0.84415,0.9164,0.64013,1.03576,0.72155,1.40633,0.000676802,0.000676802,0.000676802
62,1616.19,0.96199,0.90348,1.34547,0.90009,0.82117,0.9066,0.62112,1.04695,0.73652,1.41816,0.000660299,0.000660299,0.000660299
63,1641.8,0.9691,0.90399,1.35133,0.86379,0.82402,0.89338,0.62444,1.03497,0.77071,1.40728,0.000643795,0.000643795,0.000643795
64,1667.13,0.95546,0.892,1.34396,0.86309,0.84641,0.90349,0.61469,1.0665,0.7483,1.42217,0.000627292,0.000627292,0.000627292
65,1692.7,0.96021,0.88973,1.34401,0.87029,0.82769,0.89654,0.62113,1.05061,0.74959,1.42016,0.000610789,0.000610789,0.000610789
66,1718.02,0.95236,0.87264,1.3434,0.87176,0.83838,0.90202,0.62728,1.03707,0.70427,1.40821,0.000594286,0.000594286,0.000594286
67,1743.84,0.95839,0.88098,1.34375,0.85862,0.86143,0.90205,0.62653,1.02669,0.70926,1.39617,0.000577782,0.000577782,0.000577782
68,1769.31,0.95495,0.86874,1.33536,0.88331,0.84137,0.89508,0.62716,1.01477,0.71791,1.38411,0.000561279,0.000561279,0.000561279
69,1795.06,0.93117,0.85801,1.33178,0.88002,0.84306,0.91131,0.63959,1.01009,0.70204,1.37566,0.000544776,0.000544776,0.000544776
70,1820.64,0.9344,0.86546,1.33254,0.86444,0.83093,0.89743,0.62884,1.0167,0.72701,1.3789,0.000528272,0.000528272,0.000528272
71,1846.1,0.93431,0.83704,1.32226,0.8962,0.84076,0.91472,0.64299,1.00983,0.69846,1.37758,0.000511769,0.000511769,0.000511769
72,1872.16,0.92161,0.83776,1.31796,0.87837,0.84113,0.91023,0.64308,0.98481,0.69401,1.35452,0.000495266,0.000495266,0.000495266
73,1898.5,0.91789,0.84048,1.31743,0.87072,0.84828,0.91439,0.64129,0.99898,0.6945,1.36706,0.000478762,0.000478762,0.000478762
74,1924.71,0.90927,0.84356,1.31186,0.89848,0.85289,0.92432,0.65635,0.97903,0.67524,1.35825,0.000462259,0.000462259,0.000462259
75,1951.65,0.90539,0.81496,1.31406,0.9074,0.84064,0.91306,0.64828,0.97828,0.67581,1.35421,0.000445756,0.000445756,0.000445756
76,1978.31,0.91052,0.82003,1.30589,0.89958,0.85394,0.91233,0.65035,0.97694,0.66603,1.355,0.000429253,0.000429253,0.000429253
77,2004.2,0.91083,0.80945,1.30491,0.90143,0.8691,0.91621,0.6562,0.96749,0.65015,1.34832,0.000412749,0.000412749,0.000412749
78,2030.22,0.90123,0.8063,1.29677,0.89583,0.8724,0.92411,0.65588,0.97583,0.65681,1.35372,0.000396246,0.000396246,0.000396246
79,2056.22,0.89218,0.79617,1.28723,0.89661,0.86641,0.92195,0.65818,0.964,0.64851,1.34086,0.000379743,0.000379743,0.000379743
80,2082.1,0.88387,0.78519,1.28489,0.89338,0.87317,0.92354,0.66034,0.95922,0.65001,1.33726,0.000363239,0.000363239,0.000363239
81,2108.17,0.87332,0.77928,1.29053,0.90757,0.86526,0.91807,0.65971,0.95614,0.65638,1.33537,0.000346736,0.000346736,0.000346736
82,2133.34,0.88412,0.77178,1.28384,0.8919,0.87309,0.92745,0.66709,0.95356,0.6473,1.33559,0.000330233,0.000330233,0.000330233
83,2158.66,0.88647,0.78752,1.28386,0.89712,0.86537,0.92438,0.66812,0.95385,0.64017,1.33776,0.000313729,0.000313729,0.000313729
84,2184.2,0.88066,0.7854,1.28724,0.89141,0.87846,0.92762,0.66679,0.95253,0.63967,1.32868,0.000297226,0.000297226,0.000297226
85,2209.61,0.86684,0.77046,1.27757,0.91548,0.84733,0.92858,0.66822,0.94987,0.62875,1.32735,0.000280723,0.000280723,0.000280723
86,2235.11,0.86129,0.76406,1.27695,0.89622,0.85513,0.9254,0.66765,0.94345,0.63198,1.32609,0.00026422,0.00026422,0.00026422
87,2260.47,0.86878,0.76281,1.27557,0.91734,0.87224,0.928,0.67581,0.93253,0.61122,1.31866,0.000247716,0.000247716,0.000247716
88,2285.95,0.85475,0.75703,1.26687,0.89888,0.8757,0.92995,0.67265,0.93522,0.61765,1.32052,0.000231213,0.000231213,0.000231213
89,2311.1,0.84955,0.73915,1.25821,0.89032,0.87192,0.92576,0.67134,0.93525,0.61929,1.32081,0.00021471,0.00021471,0.00021471
90,2337.16,0.83968,0.74658,1.25476,0.91064,0.86753,0.93456,0.67965,0.92274,0.60623,1.31022,0.000198206,0.000198206,0.000198206
